ID;CHURN;START_DATE;DUREE;PREPAID;FIN_STATE;COUNT_PAYMENT_DELAYS_CURRENT;COUNT_PAYMENT_DELAYS_1YEAR;DAYS_PAYMENT_DELAYS_CURRENT;DAYS_PAYMENT_DELAYS_1YEAR;COMPLAINT_1WEEK;COMPLAINT_2WEEKS;COMPLAINT_1MONTH;COMPLAINT_3MONTHS;COMPLAINT_6MONTHS;CLV;COUNT_OFFNET_CALLS_1WEEK;COUNT_ONNET_CALLS_1WEEK;AVG_DATA_3MONTH;COUNT_CONNECTIONS_3MONTH;AVG_DATA_1MONTH;COUNT_SMS_INC_ONNET_6MONTH;COUNT_SMS_OUT_OFFNET_6MONTH;COUNT_SMS_INC_OFFNET_1MONTH;COUNT_SMS_INC_OFFNET_WKD_1MONTH;COUNT_SMS_INC_ONNET_1MONTH;COUNT_SMS_INC_ONNET_WKD_1MONTH;COUNT_SMS_OUT_OFFNET_1MONTH;COUNT_SMS_OUT_OFFNET_WKD_1MONTH;COUNT_SMS_OUT_ONNET_1MONTH;COUNT_SMS_OUT_ONNET_WKD_1MONTH;AVG_MINUTES_INC_OFFNET_1MONTH;AVG_MINUTES_INC_ONNET_1MONTH;MINUTES_INC_OFFNET_WKD_1MONTH;MINUTES_INC_ONNET_WKD_1MONTH;AVG_MINUTES_OUT_OFFNET_1MONTH;AVG_MINUTES_OUT_ONNET_1MONTH;MINUTES_OUT_OFFNET_WKD_1MONTH;MINUTES_OUT_ONNET_WKD_1MONTH
10030;0;03-04-00;594;0;NA;0;2;0;7;1;0;0;1;1;20591,73;47;13;NA;NA;NA;124;36;0;0;16;4;2;0;1;1;193,45;53,96666667;24,15;15,33333333;58,01666667;44,48333333;19,23333333;15,33333333
10031;0;05-04-00;596;0;NA;0;3;0;16;0;0;0;2;2;13012,76;24;8;NA;NA;NA;601;42;10;3;103;19;18;2;15;4;97,4;14,38333333;13,83333333;69,33333333;33,7;13,86666667;0,283333333;5,5
10032;0;05-04-00;596;0;NA;0;5;0;24;1;0;0;1;1;37965,97;101;27;49871;7;49871;300;121;2;0;62;0;21;2;18;0;34,04333333;88,3;100,25;77,95;21,68833333;87,63333333;31,2;77,81666667
10034;0;28-04-00;619;0;NA;0;0;0;0;0;0;0;0;0;21231,25;11;9;4160358;69;2497836;761;57;0;0;37;5;12;5;11;6;83,33333333;8,65;34,91666667;27,33333333;51,55;22,33333333;11,16666667;22,33333333
10036;0;19-05-00;640;0;NA;0;4;0;8;0;0;0;0;0;29679,31;35;22;202128109;125;11062112;359;170;18;0;88;12;14;6;34;1;18,42333333;57,86666667;26,68333333;21,78333333;15,56833333;47,18333333;26,35;16,28333333
10038;0;15-06-00;667;0;NA;0;0;0;0;0;0;0;1;1;27424,1;32;8;5298714;88;1243781;155;18;0;0;14;2;6;0;1;0;17,83833333;68,66666667;33,35;4,05;73,03333333;51,16666667;32,2;25,33333333
10039;0;21-06-00;673;0;NA;0;4;0;22;0;0;0;0;0;58153,11;56;47;NA;NA;NA;391;24;0;0;46;2;4;0;10;0;12,12683333;180,3;30,55;13,55;11,66666667;13,55166667;24,93333333;13,55
10040;0;28-06-00;680;0;NA;0;5;0;96;0;0;0;0;0;15155,52;19;8;NA;NA;NA;150;66;1;0;22;8;4;0;5;3;15,33333333;75,16666667;26,45;0,483333333;14,6;95,33333333;82,66666667;0,05
10042;0;31-07-00;713;0;NA;0;1;0;2;0;0;0;1;3;16269,03;5;4;273884;5;0;360;22;0;0;36;1;2;0;9;0;87,85;12,13333333;37,75;0;13,45;14,83333333;31,38333333;0,166666667
10044;0;06-10-00;780;0;NA;0;2;0;45;0;0;0;0;3;29320,33;19;27;NA;NA;NA;123;16;0;0;30;2;2;0;3;0;11,62166667;16,95833333;32,83333333;35,11666667;230,4;16,86666667;39,06666667;35,11666667
10045;0;28-11-00;833;0;NA;0;4;0;6;0;0;0;0;1;18378,47;17;14;NA;NA;NA;48;6;0;0;8;0;0;0;0;0;72,88333333;62,33333333;27,76666667;11,48333333;74,48333333;62,3;0;11,5
10046;0;03-12-00;838;0;NA;0;1;0;23;0;0;0;0;1;4208,19;0;0;80558;2;0;192;52;0;0;20;2;12;0;3;0;0;0,166666667;0,566666667;5,9;0;0;0;54,16666667
10047;0;05-12-00;840;0;NA;0;3;0;9;0;0;0;0;2;8789,22;29;7;291742;3;0;254;270;26;14;37;12;47;10;8;3;29,37166667;17,35;36,88333333;41,33333333;44,31666667;14,98333333;30,03333333;4,05
10048;0;15-12-00;850;0;NA;0;2;0;6;0;0;0;0;0;1643,62;22;32;150043;1;0;553;8;0;0;62;11;0;0;11;3;62,81666667;60,2;8,6;26,83333333;26,68333333;58,46666667;0,216666667;2,65
10049;0;19-12-00;854;0;NA;0;0;0;0;0;0;0;0;1;18568,71;50;90;NA;NA;NA;380;25;14;0;36;6;4;2;14;2;32,00666667;23,99666667;39,46666667;59,88333333;69,45;24,00166667;4,65;58,93333333
10050;0;05-01-01;871;0;NA;0;1;0;2;2;0;0;2;2;17673,72;1;21;194653404;56;44370144;150;74;7;7;54;4;10;8;6;1;86,48333333;31,18666667;22,33333333;26,86666667;29,65;29,12833333;11,41666667;26,66666667
10052;0;21-03-01;946;0;NA;0;4;0;14;0;0;0;0;0;20017,95;25;8;NA;NA;NA;181;38;4;0;4;0;0;0;0;0;13,88333333;98,21666667;53,46666667;10,31666667;57,18333333;95,96666667;74,16666667;10,4
10053;0;29-06-01;1046;0;NA;0;3;0;12;0;0;0;0;0;41046,21;23;32;57126542;92;22662552;166;36;2;0;23;0;6;2;3;0;348,35;15,51666667;0,533333333;20,11666667;49,68333333;14,35166667;91,16666667;19,98333333
10056;0;14-08-01;1092;0;NA;0;4;0;8;0;0;0;0;0;39858,87;53;23;NA;NA;NA;548;20;0;0;93;6;2;0;17;1;18,27833333;97,13333333;15,83333333;18,76666667;97,75;90,58333333;10,7;18,76666667
10057;0;19-08-01;1097;0;NA;0;4;0;29;0;0;0;0;0;9725,09;5;2;NA;NA;NA;105;8;0;0;24;4;0;0;5;1;8,7;0;0;0,083333333;10,33333333;0;0,1;0
10059;0;13-09-01;1122;0;NA;0;1;0;4;0;0;0;0;0;37397,68;39;40;992973307;92;422279149;362;178;23;7;42;2;18;8;10;4;24,72333333;42,35333333;31,26666667;57,11666667;20,07166667;42,19666667;64,33333333;57,1
10060;0;05-10-01;1144;0;NA;0;5;0;11;0;0;0;0;0;38596,27;3;61;NA;NA;NA;327;14;0;0;105;31;4;0;19;3;13,60333333;31,61833333;41,58333333;18,31333333;37,78333333;333,05;87,66666667;19,04666667
10062;0;08-10-01;1147;0;NA;0;0;0;0;0;0;0;0;0;13436,69;1;58;NA;NA;NA;737;0;0;0;130;26;0;0;0;0;11,61666667;831,05;0;17,64833333;11,83333333;822,7;0;17,41333333
10065;0;22-11-01;1192;0;NA;0;0;0;0;0;0;0;0;0;18057,47;7;56;300114211;146;211219248;658;110;12;0;156;0;14;2;37;0;67,75;20,40333333;16,15;50,8;25,31666667;199,8;82,16666667;50,8
10068;0;23-01-02;1254;0;NA;0;4;0;12;0;0;0;0;0;18950,24;35;178;272181;2;272181;2346;52;0;0;382;77;4;2;78;15;98,26666667;762,1;44,3;22,32166667;25,78333333;759,35;23,35;22,32333333
10069;0;25-01-02;1256;0;NA;0;2;0;6;0;0;0;0;0;19255,43;5;23;449871;2;449871;134;40;0;0;16;2;2;0;2;0;43,01666667;77,75;8,85;91,16666667;41,43333333;77,4;22,2;90,16666667
10070;0;31-01-02;1262;0;NA;0;2;0;5;0;0;0;0;1;33380,2;26;10;7228074;20;4848445;201;162;4;2;28;8;38;2;4;2;23,20833333;31,7;138,2;10,9;11,27166667;31,78333333;51,2;94,33333333
10071;1;08-02-02;1270;0;0;0;1;0;1;0;0;0;0;0;3469,26;1;1;NA;NA;NA;149;10;0;0;12;0;0;0;1;0;3,433333333;7,366666667;0;0;7,333333333;6,583333333;3,233333333;0
10073;0;01-03-02;1291;0;NA;0;1;0;1;0;0;0;0;0;17487,22;16;8;NA;NA;NA;117;2;0;0;40;6;0;0;1;1;255,9;27,85;15,71666667;61,66666667;15,38333333;24,75;3,05;45,33333333
10077;0;16-03-02;1306;0;NA;0;1;0;4;0;0;0;0;0;18672,93;8;45;NA;NA;NA;72;24;0;0;10;2;4;3;0;0;64,15;13,59666667;19,96666667;63,63333333;5,6;13,55333333;0,716666667;62,93333333
10076;1;16-03-02;1306;0;0;0;2;0;47;0;0;0;0;0;102287,15;30;4;18121768;16;0;268;62;4;0;62;22;4;2;11;4;205,35;25,8;102,9;0;92,11666667;11,81666667;43,41666667;0
10079;0;22-03-02;1312;0;NA;0;0;0;0;0;0;0;0;0;26566,25;13;52;11616403;25;70713;236;74;0;0;34;5;16;0;6;1;22,62333333;74,82833333;32,9;13,14833333;13,28666667;65,40833333;7,5;13,13166667
10080;0;05-04-02;1326;0;NA;0;3;0;10;0;0;0;0;0;12819,22;9;39;87608;2;0;188;2;0;0;40;4;0;0;11;1;22,45;71,63333333;7,55;39,81666667;15,83333333;70,51666667;2,55;39,55
10081;0;20-04-02;1341;0;NA;0;3;0;4;0;0;0;1;2;87123,83;44;23;18858982;17;18858982;347;56;0;0;32;2;4;0;4;0;1081,4;45,33666667;465,05;47,48333333;30,84166667;44,91833333;56,31666667;47,63333333
10082;0;25-04-02;1346;0;NA;0;1;0;28;0;0;0;0;0;40270,45;41;102;189407533;79;12811297;1051;255;76;12;182;32;50;6;73;8;155,25;298,15;38,26666667;90,18333333;27,74833333;231,95;63,28333333;80,96666667
10085;0;19-07-02;1431;0;NA;0;0;0;0;0;0;0;0;0;72822,04;52;9;NA;NA;NA;605;53;4;0;130;56;22;12;31;12;461,85;60,61666667;139,2;94,83333333;301,25;48,45;99,85;81,83333333
10088;1;06-08-02;1449;0;0;0;4;0;17;0;0;0;0;0;137384,82;106;144;16424837;116;3706118;910;35;2;0;171;23;14;0;35;5;1108,933333;895,6166667;87,98333333;126,05;146,8166667;0;14,95;80,78333333
10090;1;30-08-02;1473;0;0;0;0;0;0;0;0;0;0;0;11753,32;4;44;337787;4;329746;66;24;0;0;52;40;0;0;15;13;12,36666667;164,7166667;4,05;53,53333333;27,63333333;160,3166667;6,333333333;53,51666667
10091;0;02-09-02;1476;0;NA;0;2;0;7;0;0;0;0;0;24906,98;12;27;864370480;100;452661190;303;82;4;2;51;11;10;4;21;9;48,53333333;30,37166667;31,95;38,51666667;58,26666667;291,05;20,06666667;38,53333333
10092;0;06-09-02;1480;0;NA;0;0;0;0;0;0;0;0;1;22715,88;40;115;208597214;183;31065621;597;35;2;2;71;8;2;0;18;2;16,70166667;563,15;12,25166667;15,84166667;54,16666667;55,68833333;19,46666667;155,25
10093;0;21-09-02;1495;0;NA;0;1;0;7;0;0;0;0;0;13213,4;4;78;NA;NA;NA;436;60;9;0;61;18;24;2;20;9;37,25;19,93666667;0;41,55;0;19,50166667;0;40,65
10094;0;02-10-02;1506;0;NA;0;5;0;51;0;0;0;0;1;27262,55;13;93;NA;NA;NA;302;136;4;2;49;10;15;0;11;2;89,1;82,21666667;6,4;22,11166667;40,3;82,00666667;20,76666667;22,07166667
10096;1;27-10-02;1531;0;0;0;0;0;0;0;0;0;0;0;13679,14;16;2;NA;NA;NA;78;2;0;0;10;0;0;0;0;0;134,9833333;47,88333333;9,75;0;1,8;47,88333333;0;0
10100;0;20-12-02;1585;0;NA;0;1;0;2;0;0;0;1;2;34540,52;44;26;101318496;114;52268945;668;56;6;4;169;29;6;4;36;7;18,99666667;46,8;74,28333333;45,83333333;11,09333333;44,03333333;24,03333333;44,16666667
10101;0;26-12-02;1591;0;NA;0;1;0;2;0;0;0;0;0;41361,91;29;52;3754205;70;769934;885;229;26;2;223;18;34;0;236;9;12,48666667;21,75166667;97,33333333;33,43333333;24,26333333;12,35666667;11,01666667;12,05
10102;0;07-01-03;1603;0;NA;0;2;0;5;0;0;0;0;0;23624,79;10;20;10833078;11;29409;320;109;2;0;54;2;6;6;3;0;81,76666667;0;13,16666667;23,01666667;19,15;19,76833333;59,66666667;22,86666667
10104;0;12-01-03;1608;0;NA;0;1;0;2;0;0;0;0;2;23362,38;16;53;18626339;67;2003373;561;138;10;4;94;36;19;3;23;10;19,86833333;18,84166667;88,48333333;41,08333333;19,4;18,82166667;11,83333333;40,65
10103;0;12-01-03;1608;0;NA;0;0;0;0;0;0;0;0;0;29102,86;19;34;NA;NA;NA;178;30;6;0;44;4;22;2;6;0;156,8;12,35166667;39,23333333;35,66666667;155,85;116,3;59,76666667;35,31666667
10105;0;28-02-03;1655;0;NA;0;5;0;21;0;0;0;0;1;49848,84;45;147;NA;NA;NA;550;34;2;2;70;28;10;2;14;8;806,3;12,89116667;69,21666667;37,21833333;38,33166667;12,65133333;22,38333333;371,2
10106;0;25-03-03;1680;0;NA;0;3;0;24;0;0;0;0;0;15109,51;11;19;NA;NA;NA;192;6;0;0;6;2;2;0;0;0;57,35;13,03833333;47,16666667;26,51666667;56,18333333;130,3;19,66666667;26,46666667
10107;0;08-04-03;1694;0;NA;0;1;0;61;0;0;0;0;0;12398,41;13;78;NA;NA;NA;323;20;0;0;32;4;0;0;4;0;57,15;26,50833333;17,89166667;59,18333333;60,88333333;26,00833333;58,16666667;58,76666667
10108;1;16-04-03;1702;1;0;0;2;0;15;0;0;0;2;2;25844,7;7;7;NA;NA;NA;268;408;0;0;58;19;62;18;13;6;95,35;34,56666667;17,91666667;1,433333333;147,5666667;32,78333333;24,5;0,083333333
10109;1;09-05-03;1725;0;0;0;1;0;4;0;0;0;0;0;28295,1;45;30;NA;NA;NA;174;266;20;6;50;20;44;26;8;4;463,8;85,03333333;171,6166667;13,75;173,6666667;80,16666667;57,21666667;12,76666667
10111;0;18-05-03;1734;0;NA;0;5;0;49;1;1;0;2;3;16832,11;19;35;8764761;39;565749;122;2;0;0;14;1;2;0;3;0;18,3;29,28333333;0;0;0,533333333;27,61666667;0;0
10113;1;31-05-03;1747;0;0;0;11;0;148;0;0;0;0;0;40952,22;40;33;9512244;130;3700908;328;45;4;0;100;12;12;6;21;3;265,3666667;104,95;38,58333333;4,4;294,65;97,1;34,61666667;4,233333333
10114;0;12-07-03;1789;0;NA;0;5;0;21;0;0;0;1;1;26856,83;37;10;1586931531;88;746053054;365;248;42;0;86;14;44;2;17;3;68,35166667;33,61666667;43,71666667;2,1;162,3;31,15;65,66666667;23,16666667
10115;0;31-07-03;1808;0;NA;0;1;0;5;0;0;0;0;0;28602,2;0;0;28125273;97;2770686;311;136;42;14;88;3;50;14;19;1;91,88333333;17,4;8,85;29,33333333;141,35;16,11666667;74,93333333;29,33333333
10118;1;04-09-03;1843;0;0;0;2;0;2;0;0;0;0;0;28100,01;51;48;NA;NA;NA;325;18;0;0;53;16;4;0;12;4;236,4166667;300,9666667;58,66666667;61,26666667;147,75;299,3666667;29,53333333;60,93333333
10119;0;30-09-03;1869;0;NA;0;2;0;9;0;0;0;0;1;12149,4;22;57;NA;NA;NA;455;6;0;0;76;26;0;0;20;9;15,34666667;37,24833333;34,48333333;53,86666667;17,5;369,2;14,83333333;51,6
10120;0;27-10-03;1896;0;NA;0;3;0;7;0;0;0;0;0;43505,93;10;8;NA;NA;NA;428;452;133;41;146;36;120;35;55;14;136,1;24,43333333;51,75;11,88333333;73,4;23,23333333;8,85;11,85
10121;0;29-10-03;1898;0;NA;0;2;0;15;0;0;0;0;1;22961;5;67;252347599;152;71034946;607;180;18;2;146;17;31;0;41;5;40,76666667;14,90666667;12,33333333;22,03333333;18,83333333;14,64166667;0,933333333;21,96666667
10124;0;15-12-03;1945;0;NA;0;2;0;11;0;0;0;0;0;20712,54;47;124;NA;NA;NA;729;163;1;1;161;59;12;4;28;11;11,46833333;337,15;38,11666667;55,08333333;13,70166667;33,38666667;29,45;54,65
10125;0;17-12-03;1947;0;NA;0;1;0;3;0;0;0;1;1;29507,89;44;53;978168768;66;64584108;372;219;10;2;66;14;16;4;61;3;23,06333333;26,92166667;28,58333333;10,11666667;40,31666667;26,57333333;12,18333333;101,15
10128;0;09-01-04;1970;0;NA;0;0;0;0;0;0;0;0;0;11501,19;2;0;NA;NA;NA;86;4;0;0;18;8;0;0;4;2;10,4;78,93333333;11,16666667;29,65;0,05;78,93333333;0,233333333;29,58333333
10130;0;27-01-04;1988;0;NA;0;5;0;12;0;0;0;2;2;17064,71;12;7;12415;3;0;155;10;0;0;12;0;0;0;0;0;11,11666667;56,03333333;0;30,16666667;52,73333333;54,13333333;0;30,16666667
10135;0;17-03-04;2038;0;NA;0;0;0;0;0;0;0;2;2;27343,93;7;54;2859284845;92;1263395164;316;12;0;0;42;2;0;0;6;0;45,73333333;68,92333333;4,95;11,54166667;26,36666667;67,46833333;0,416666667;11,53166667
10136;1;20-03-04;2041;0;0;0;1;0;2;0;0;0;0;0;29414,53;5;17;20394543;47;8903448;194;24;4;0;45;2;0;0;5;0;39,41666667;58,33333333;11,83333333;43,61666667;4,516666667;36,5;0;40,65
10137;0;21-03-04;2042;0;NA;0;5;0;14;0;0;0;1;1;43045,92;36;122;272924259;118;186356586;841;108;10;2;132;42;28;2;62;17;178,25;15,43216667;26,38333333;31,37166667;80,15;15,38566667;55,66666667;31,37833333
10139;0;26-04-04;2078;0;NA;0;1;0;3;0;0;0;0;0;20510,52;4;106;6542037;6;172;240;43;0;0;116;30;26;7;20;8;60,81666667;66,37833333;47,6;27,19166667;5,55;661,95;10,83333333;26,72166667
10141;0;07-05-04;2089;0;NA;0;4;0;12;0;0;0;0;0;10492,02;8;10;NA;NA;NA;189;4;0;0;26;0;0;0;1;0;49,7;38,9;15,68333333;19,95;65,66666667;36,7;0;19,85
10142;0;10-05-04;2092;0;NA;0;5;0;38;0;0;0;0;0;112039,27;105;695;NA;NA;NA;1523;12;0;0;410;94;0;0;8;8;60,15833333;21,40183333;49,65;833,05;28,10333333;20,77416667;10,45666667;820,7
10144;0;15-07-04;2158;0;NA;0;1;0;3;1;1;1;1;2;20628,49;6;9;50383592;52;198608;301;162;1;1;48;8;28;8;19;2;16,73333333;35,08333333;43,16666667;20,9;60,88333333;34,46666667;20,6;20,85
10146;1;31-07-04;2174;0;0;0;3;0;11;0;0;0;0;0;20506,41;2;15;NA;NA;NA;183;4;0;0;28;12;0;0;3;2;16,26666667;269,0666667;46,95;305,5333333;9,05;265,9;12,28333333;301,9833333
10147;0;06-08-04;2180;0;NA;0;0;0;0;1;1;0;1;1;15414,76;13;19;103196898;70;102198283;241;282;3;2;46;6;22;12;8;1;65,8;18,15833333;65,05;11,21666667;77,08333333;17,96166667;62,91666667;103,15
10148;0;18-08-04;2192;0;NA;0;3;0;35;2;2;2;2;2;11869,32;1;9;NA;NA;NA;258;2;0;0;62;20;0;0;23;6;1,95;19,25;0,833333333;5,9;18,2;18,53333333;96,83333333;5,9
10149;0;23-08-04;2197;0;NA;0;1;0;3;0;0;0;1;1;53539,31;88;29;4567856801;94;974538835;629;190;6;0;96;13;27;6;19;2;46,54333333;16,82333333;79,75;32,73333333;19,94333333;13,06333333;20,95;16,4
10152;0;03-10-04;2238;0;NA;0;3;0;11;0;0;0;0;0;30991,67;20;49;529144456;89;270828527;286;61;13;0;30;0;19;0;7;0;28,89166667;329,7;33,98333333;71,03333333;79,36666667;32,75666667;36,6;71,21666667
10151;0;03-10-04;2238;0;NA;0;3;0;7;0;0;0;0;0;18006,34;5;24;NA;NA;NA;505;71;6;2;120;6;10;4;36;0;24,15;10,64333333;12,78333333;48,9;42,41666667;95,86666667;0;48,83333333
10153;0;05-10-04;2240;0;NA;0;1;0;2;0;0;0;0;0;32365,06;30;31;812718378;82;339204322;226;95;3;0;40;8;4;0;7;2;265,9;14,39833333;27,36666667;11,23333333;10,11666667;14,34666667;11,28333333;11,23333333
10154;1;22-10-04;2257;0;0;0;8;0;168;0;0;0;0;0;38078,38;61;9;7615843;11;285644;473;12;4;0;94;13;2;0;27;4;607,3666667;119,2333333;3,616666667;0;177,1666667;88,55;5,133333333;0,633333333
10155;0;03-11-04;2269;0;NA;0;0;0;0;0;0;0;0;0;23310,47;8;8;NA;NA;NA;163;135;60;8;26;0;40;6;13;2;24,41833333;173,15;47,3;47,38333333;147,5;151,15;69,66666667;47,38333333
10156;0;12-11-04;2278;0;NA;0;3;0;12;0;0;0;0;1;21404,77;0;14;70723820;46;3276161;613;298;101;84;66;9;90;48;9;1;10,83333333;11,23833333;0;67,66666667;144,95;88,03333333;16,28333333;67,66666667
10157;0;02-12-04;2298;0;NA;0;1;0;3;0;0;0;0;0;12811,29;9;8;NA;NA;NA;288;16;0;0;34;4;0;0;8;0;27,41666667;28,66666667;9,9;0,816666667;43,46666667;28,65;22,66666667;0,816666667
10158;0;31-12-04;2327;0;NA;0;1;0;5;0;0;0;0;2;19740,28;3;41;541722;7;250272;789;21;12;2;60;16;11;4;21;3;15,18333333;52,55;3,75;35,33333333;11,16666667;32,55;36,66666667;12,53333333
